E      ; sig
1186.534 ; 7.31425
1186.937 ; 7.178415
1187.34 ; 7.057505
1187.743 ; 6.949143
1188.146 ; 6.851446
1188.549 ; 6.76287
1188.951 ; 6.682325
1189.757 ; 6.540246
1190.563 ; 6.418827
1191.369 ; 6.313345
1192.174 ; 6.220435
1192.788 ; 6.156277
1193.402 ; 6.096877
1193.844 ; 6.056611
1194.285 ; 6.018227
1194.726 ; 5.981412
1195.167 ; 5.945981
1195.388 ; 5.928698
1195.609 ; 5.911715
1195.83 ; 5.895038
1195.94 ; 5.88686
1196.05 ; 5.878777
1196.161 ; 5.870732
1196.271 ; 5.862897
1196.381 ; 5.855233
1196.436 ; 5.851481
1196.491 ; 5.847793
1196.547 ; 5.844114
1196.602 ; 5.840585
1196.657 ; 5.837153
1196.712 ; 5.833833
1196.767 ; 5.83064
1196.822 ; 5.827593
1196.877 ; 5.824712
1196.932 ; 5.822018
1196.99 ; 5.819406
1197.047 ; 5.817098
1197.105 ; 5.815042
1197.162 ; 5.813342
1197.22 ; 5.811973
1197.277 ; 5.811013
1197.335 ; 5.810463
1197.392 ; 5.810374
1197.488 ; 5.811312
1197.584 ; 5.813711
1197.68 ; 5.81764
1197.776 ; 5.82311
1197.872 ; 5.830056
1197.968 ; 5.838328
1198.16 ; 5.857754
1198.362 ; 5.879282
1198.563 ; 5.896883
1198.668 ; 5.902746
1198.773 ; 5.9054
1198.888 ; 5.903977
1199.0 ; 5.897805
1199.128 ; 5.884785
1199.275 ; 5.862326
1199.402 ; 5.837287
1199.529 ; 5.808169
1199.556 ; 5.801575
1199.609 ; 5.788318
1199.797 ; 5.739285
1199.984 ; 5.690445
1200.144 ; 5.650992
1200.238 ; 5.629364
1200.332 ; 5.609046
1200.426 ; 5.590075
1200.519 ; 5.572603
1200.613 ; 5.556171
1200.706 ; 5.54101
1200.753 ; 5.533719
1200.8 ; 5.52665
1200.847 ; 5.519784
1200.893 ; 5.513241
1200.94 ; 5.506717
1200.987 ; 5.500336
1201.034 ; 5.494079
1201.08 ; 5.488057
1201.127 ; 5.48199
1201.174 ; 5.475995
1201.221 ; 5.470054
1201.267 ; 5.464278
1201.361 ; 5.452537
1201.454 ; 5.440921
1201.548 ; 5.42909
1201.641 ; 5.417219
1201.775 ; 5.39969
1201.909 ; 5.381498
1202.043 ; 5.36248
1202.176 ; 5.342629
1202.31 ; 5.321482
1202.444 ; 5.299004
1202.578 ; 5.274996
1202.711 ; 5.249435
1202.845 ; 5.221702
1202.979 ; 5.191739
1203.046 ; 5.175854
1203.113 ; 5.159338
1203.18 ; 5.14218
1203.246 ; 5.124649
1203.313 ; 5.10623
1203.38 ; 5.08722
1203.447 ; 5.067681
1203.513 ; 5.048012
1203.58 ; 5.027752
1203.647 ; 5.007386
1203.714 ; 4.987164
1203.78 ; 4.967695
1203.847 ; 4.948786
1203.914 ; 4.931226
1203.981 ; 4.915608
1204.048 ; 4.902629
1204.115 ; 4.893101
1204.182 ; 4.887946
1204.249 ; 4.888202
1204.315 ; 4.89485
1204.382 ; 4.909304
1204.449 ; 4.93281
1204.516 ; 4.966703
1204.582 ; 5.011552
1204.649 ; 5.070007
1204.716 ; 5.142704
1204.849 ; 5.333307
1204.99 ; 5.607699
1205.13 ; 5.954953
1205.411 ; 6.842533
1205.558 ; 7.366585
1205.705 ; 7.889046
1205.759 ; 8.07301
1205.879 ; 8.45305
1205.959 ; 8.676781
1206.0 ; 8.780252
1206.031 ; 8.852958
1206.098 ; 8.992717
1206.164 ; 9.10571
